Familienstand,Geschlecht,Einkommen
ledig,m,2940
ledig,m,3171
ledig,m,2268
ledig,m,3360
ledig,m,3028
ledig,m,3122
ledig,m,2907
ledig,m,3298
ledig,m,1751
ledig,m,2761
ledig,m,2930
ledig,m,2933
ledig,m,2449
ledig,m,2519
ledig,m,3703
ledig,m,4072
ledig,m,2833
ledig,m,3074
ledig,m,2593
ledig,m,2403
ledig,f,1128
ledig,f,1269
ledig,f,905
ledig,f,1192
ledig,f,646
ledig,f,469
ledig,f,888
ledig,f,816
ledig,f,639
ledig,f,1445
ledig,f,999
ledig,f,1287
ledig,f,1102
ledig,f,1484
ledig,f,338
ledig,f,653
ledig,f,1040
ledig,f,1332
ledig,f,1018
ledig,f,1375
verheiratet,m,2870
verheiratet,m,3071
verheiratet,m,3524
verheiratet,m,3278
verheiratet,m,3346
verheiratet,m,3178
verheiratet,m,2388
verheiratet,m,4019
verheiratet,m,4047
verheiratet,m,2794
verheiratet,m,2689
verheiratet,m,2865
verheiratet,m,3824
verheiratet,m,2530
verheiratet,m,2928
verheiratet,m,2532
verheiratet,m,2990
verheiratet,m,2862
verheiratet,m,2844
verheiratet,m,2845
verheiratet,f,2011
verheiratet,f,1245
verheiratet,f,1306
verheiratet,f,1723
verheiratet,f,1753
verheiratet,f,1882
verheiratet,f,1081
verheiratet,f,1647
verheiratet,f,742
verheiratet,f,1216
verheiratet,f,829
verheiratet,f,619
verheiratet,f,2113
verheiratet,f,1055
verheiratet,f,2045
verheiratet,f,1541
verheiratet,f,2564
verheiratet,f,1698
verheiratet,f,2080
verheiratet,f,1354
geschieden,m,2390
geschieden,m,2964
geschieden,m,3102
geschieden,m,1545
geschieden,m,2731
geschieden,m,2550
geschieden,m,2268
geschieden,m,2242
geschieden,m,1964
geschieden,m,1989
geschieden,m,2726
geschieden,m,1796
geschieden,m,2619
geschieden,m,2451
geschieden,m,2040
geschieden,m,2051
geschieden,m,2438
geschieden,m,2433
geschieden,m,1978
geschieden,m,1734
geschieden,f,1599
geschieden,f,1615
geschieden,f,1715
geschieden,f,2253
geschieden,f,1847
geschieden,f,1985
geschieden,f,1422
geschieden,f,1707
geschieden,f,1618
geschieden,f,1588
geschieden,f,2073
geschieden,f,1884
geschieden,f,1485
geschieden,f,1563
geschieden,f,1470
geschieden,f,958
geschieden,f,2353
geschieden,f,1938
geschieden,f,1843
geschieden,f,2018
